name,versionString,manager
craftcms/cms,3.0.22,Composer
craftcms/redactor,2.1.6,Composer
dolphiq/redirect,v1.0.18,Composer
firstborn/migrationmanager,v3.0.11,Composer
google/protobuf,^3.8@RC,Composer
ibrahimlawal/new-relic-craft-3,1.0.0,Composer
lukeyouell/craft-fetch,^1.1,Composer
lukeyouell/craft-geocookie,1.3.2,Composer
mikestecker/craft-readability,1.0.4,Composer
mikestecker/craft-videoembedder,^1.0,Composer
mmikkel/cp-field-inspect,1.0.4,Composer
nystudio107/craft-eagerbeaver,^1.0,Composer
nystudio107/craft-imageoptimize,^1.5,Composer
nystudio107/craft-richvariables,^1.0,Composer
nystudio107/craft-seomatic,3.1.20,Composer
ostark/craft-plugin-commands,^1.0,Composer
putyourlightson/craft-blitz,^1.9,Composer
verbb/field-manager,^2.0,Composer
verbb/super-table,2.0.8,Composer
vlucas/phpdotenv,^2.4.0,Composer
