name,versionString,manager
start-server-and-test,^1.7.13,NPM
amplitude/amplitude.min.js,,N/A
angular/angular-animate/angular-animate.min.js,,N/A
angular/angular-autocomplete/autocomplete.js,,N/A
angular/angular-bootstrap/ui-bootstrap-custom-tpls-0.14.3.min.js,,N/A
angular/angular-chart/angular-chart.min.js,,N/A
angular/angular-chart/Chart.min.js,,N/A
angular/angular-clipboard/angular-clipboard.js,,N/A
angular/angular-currency-mask/angular-currency-mask.js,,N/A
angular/angular-datepicker/angular-datepicker.min.js,,N/A
angular/angular-dynamic-locale/angular-dynamic-locale.min.js,,N/A
angular/angular-file-upload/angular-file-upload.min.js,,N/A
angular/angular-google-analytics/angular-google-analytics.min.js,,N/A
angular/angular-gravatar/angular-gravatar.md5.min.js,,N/A
angular/angular-gravatar/angular-gravatar.min.js,,N/A
angular/angular-lazy-load/ocLazyLoad.min.js,,N/A
angular/angular-loading-bar/loading-bar.min.js,,N/A
angular/angular-sanitize/angular-sanitize.min.js,,N/A
angular/angular-slider/rzslider.js,,N/A
angular/angular-sortable-view/angular-sortable-view.js,,N/A
angular/angular-ui-router/angular-ui-router.min.js,,N/A
angular/angular.js,,N/A
angular/angular.min.js,,N/A
angular/ipcookie/angular-cookie.min.js,,N/A
angular/ng-i18next/ng-i18next.min.js,,N/A
angular/ngdialog/ngDialog.js,,N/A
angular/ngstorage/ngStorage.min.js,,N/A
angular/relative-date/angular-relative-date.min.js,,N/A
angular/restangular/restangular.min.js,,N/A
angular/toaster/toaster.min.js,,N/A
angular/ui-paging/ui-paging.js,,N/A
angular/ui-select/select.min.js,,N/A
gravatar/gravatar.js,,N/A
i18next-browser-language-detector/i18next-language-detector.min.js,,N/A
i18next-xhr-backend/i18next-xhr-backend.min.js,,N/A
i18next/i18next.min.js,,N/A
intro/intro.min.js,,N/A
mailcheck/mailcheck.min.js,,N/A
moment/moment.min.js,,N/A
ng-i18next/ng-i18next.min.js,,N/A
papaparse/papaparse.min.js,,N/A
pusher/pusher.min.js,,N/A
underscore/underscore-min.js,,N/A
upload/aws-sdk-2.2.47.min.js,,N/A
zendesk/zendesk.min.js,,N/A
ajv,^6.5.3,NPM
babel-core,^6.26.3,NPM
babel-eslint,^10.0.1,NPM
babel-jest,^23.6.0,NPM
